"","SR","SevMale","SevFemale","SevTotal","AttSvMale","AttSvFemale","AttSvTotal","NmMale","NmFemale","NmTotal","AttNmMale","AttNmFemale","AttNmTotal","pcSevMaleAtt","pcSevFemaleAtt","pcSevTotalAtt","pcNmMaleAtt","pcNmFemaleAtt","pcNmTotalAtt"
"1","Ayeyawady",2418,1985,4403,927,690,1617,304663,299426,604089,251283,250321,501604,38.3374689826303,34.7607052896725,36.724960254372,82.4790013884193,83.6002885520963,83.0347846095526
"2","Bago",1239,1032,2271,346,261,607,234925,230546,465471,198026,197425,395451,27.9257465698144,25.2906976744186,26.7283135182739,84.2932850909865,85.6336696364283,84.9571724124596
"3","Chin",243,237,480,117,109,226,32063,31382,63445,27815,27351,55166,48.1481481481481,45.9915611814346,47.0833333333333,86.7510838037613,87.155057039067,86.9509023563717
"4","Kachin",383,303,686,121,85,206,84080,81699,165779,69204,68435,137639,31.5926892950392,28.0528052805281,30.0291545189504,82.3073263558516,83.7647951627315,83.0255943153234
"5","Kayah",70,67,137,21,27,48,16368,16246,32614,14265,14445,28710,30,40.2985074626866,35.036496350365,87.1517595307918,88.9141942632033,88.0296805053045
"6","Kayin",536,428,964,176,134,310,90988,87817,178805,67480,68807,136287,32.8358208955224,31.3084112149533,32.1576763485477,74.1636259726557,78.3527107507658,76.2210229020441
"7","Magway",1023,909,1932,328,278,606,181006,180415,361421,151179,154681,305860,32.0625610948192,30.5830583058306,31.3664596273292,83.521540722407,85.7362192722335,84.6270692627158
"8","Mandalay",1206,1068,2274,327,263,590,270206,261990,532196,216362,220238,436600,27.1144278606965,24.625468164794,25.9454705364996,80.0729813549662,84.0635138745754,82.0374448511451
"9","Mon",581,538,1119,170,156,326,111169,106699,217868,88906,87717,176623,29.2598967297762,28.996282527881,29.1331546023235,79.9737336847502,82.2097676641768,81.0688123083702
"10","Nay Pyi Taw",264,232,496,63,57,120,55935,54681,110616,46695,46561,93256,23.8636363636364,24.5689655172414,24.1935483870968,83.4808259587021,85.1502349993599,84.3060678382874
"11","Rakhine",584,528,1112,221,214,435,116568,112860,229428,95110,92639,187749,37.8424657534247,40.530303030303,39.1187050359712,81.591860544918,82.0831118199539,81.8335163973011
"12","Sagaing",1186,964,2150,367,274,641,259504,254506,514010,215738,217458,433196,30.9443507588533,28.4232365145228,29.8139534883721,83.1347493680252,85.4431722631294,84.2777377872026
"13","Shan",1371,1101,2472,312,254,566,323400,316690,640090,195647,205994,401641,22.7571115973742,23.0699364214351,22.8964401294498,60.4969078540507,65.0459439830749,62.747582371229
"14","Tanintharyi",480,432,912,171,163,334,83140,80505,163645,68421,67798,136219,35.625,37.7314814814815,36.6228070175439,82.296127014674,84.2158872119744,83.2405511931315
"15","Yangon",1422,1167,2589,326,274,600,286486,276268,562754,225183,219856,445039,22.9254571026723,23.4790059982862,23.1749710312862,78.6017466822113,79.5806970043581,79.0823343770102
